spending_txid,vin_index,input_txid,input_vout,value_btc,generated,created_height,tip_height,age_blocks,age_days,note
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,54,69b3eea3f8ba30f7205841e66a3cb9eeda6653cbf3dc84e7c4051cc5154a3555,11,0.00515808,False,968196,968282,86,0.5972,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,55,6b58aee5866b94fe8eb1e16878b811f39be2c2778e5353aa54fa9aba59122bc2,0,0.00071734,False,967649,968282,633,4.3958,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,56,6babbcdcfa324bf9ca15012d13c87f8cd2fc1598065b8a11051e3f57d35419f3,4,0.01202535,False,968277,968282,5,0.0347,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,57,6bb58a64d52884ca847607983ac1b803bdfdb9d90af7b01ec687bb95aa49cdda,0,0.00071938,False,963331,968282,4951,34.3819,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,58,6e83971bc3b6eeea982b10cd07ccfaf40d54045b47f00a1adb099b2795e25796,0,0.00071785,False,967890,968282,392,2.7222,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,59,70918cbcc0f584645fdd1a415fe643692d307cf3cd7ace6c0ba075afad98e3fe,0,0.00576093,False,968220,968282,62,0.4306,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,60,72804509395d144e8e89d08818bfef84745e708c6636582cd3bb5dd6b761c77c,1,0.00158278,False,968250,968282,32,0.2222,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,61,74eae5bbb4bcffe2340f670e558cf51d681deff4505d81a7ff202c288561da24,4,0.00071926,False,964328,968282,3954,27.4583,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,62,74fae403c0c6fb81c4468c998b2ae7b3d326ce435651131c2435d82d9e673567,12,0.00574146,False,968204,968282,78,0.5417,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,63,761180405989040329c07d68c417237c26ccddb6e52f82e2b214ac6d71240eea,0,0.00070899,False,965781,968282,2501,17.3681,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,64,76f119d9077d99082f3201ed04c353b58958e2615d6cb62e5833114428bdc731,13,0.00202198,False,968204,968282,78,0.5417,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,65,78c8004cd5fc2871fe5a6f7f3f756b8a6a5d99fc0d365fd9fa7979d20025a051,12,0.00257141,False,968202,968282,80,0.5556,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,66,7a3cda0efdd0d439b11340b4de3f379d78bea71eff2d71300fb2757cd25628de,2,0.0007289,False,965654,968282,2628,18.25,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,67,7c350706c646c8b56ea3e9b227312184e36454119a37eada4a23c629e0ab369d,15,0.00321331,False,968232,968282,50,0.3472,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,68,7c6a4d97a860874a7fce382141f4eefdf502e38fa2462a56c5fe55f480c075c3,0,0.00071361,False,963491,968282,4791,33.2708,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,69,7d1789d020c0f3df123a9fc65b045200383154cf9e5f4c0e0564de6e3f2f0870,10,0.05778402,False,968202,968282,80,0.5556,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,70,7e16a92824089eb11a788ea63438a27cf3b07a3b0652a0eb13a9ac0b46907bd5,11,0.00122488,False,968196,968282,86,0.5972,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,71,7e3ddb8e9a10b2bd9b5f63427b0142a31d1fe94f712f12f7d718726f2ed91c3e,1,0.00887708,False,968218,968282,64,0.4444,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,72,7e81aaf38ca653b87b8bff947e4d1bc5eaa4b630223de58c4b7a3ec3c5bb6394,0,0.00163001,False,968202,968282,80,0.5556,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,73,7ec1f15261525fc2f5ea6d65c7c6c280f682b5f814727882c6d80528d95f2f67,0,0.00586515,False,968197,968282,85,0.5903,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,74,7ecb7faa3fba0e3227a98dc9e19ab3993680c8594c8e458883e54ebb3f9f7cd0,0,0.00070488,False,964586,968282,3696,25.6667,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,75,8091006195eaa054fc902ff59ee0665ee99aab24e62d7f726dadfb9c0d28a31d,24,0.00120126,False,968204,968282,78,0.5417,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,76,80cdb3a9e54c732e4e2e916476a757aa85b2b3dd2d91ab50995d449f43c2013d,1,0.00730312,False,968215,968282,67,0.4653,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,77,83060999c701f40cb0401295696de6f5f8b8b052aaa8ee4b43083473854b8810,2,0.02665961,False,968198,968282,84,0.5833,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,78,833a44b40a98f50c3636efee555622326f7314fc1052c7ce661fbda8af3ec7d6,1,0.000721,False,966537,968282,1745,12.1181,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,79,843bc0256d9d4c35b6e1b583d779fb94da98783017eef37434a13b58b579ece0,14,0.00205764,False,968266,968282,16,0.1111,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,80,8541569c6bb2bc83b07f54dd2ae477d55965643e66ea3032543cd200b06cdda1,0,0.00072154,False,963255,968282,5027,34.9097,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,81,8542dddcd47dd495a9e57f8200c60294b6cc2306740b4c6cf8b7f3755db79d25,0,0.000717,False,964622,968282,3660,25.4167,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,82,86be2233b477abd07da6798ecb7bafaf866b449b333ce535c21aacb3448a901a,0,0.01221973,False,968218,968282,64,0.4444,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,83,87fbf6aa262ca7bdfa7930f05b40b8b8e663bf7053c38e4566da98e807515946,4,0.0083283,False,968256,968282,26,0.1806,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,84,8a65d0ff83401c6880ce6773530be9c11254b544e267c022b0c8af85f322c7ba,0,0.00619774,False,968211,968282,71,0.4931,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,85,8af4372fc3c0e0e8b81df4fa9af09231fbd802954b91778d59fb79a2fbb0bb50,0,0.00113937,False,968213,968282,69,0.4792,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,86,8c04fc18386bc641649ce0c7ebc61550fc83d414a743d0f3253e48f52a4dd849,0,0.00108451,False,968280,968282,2,0.0139,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,87,8da3931b5533040173ebd4599ea34a59eb6a499150c138c5287b6ba3315803ad,0,0.00071493,False,963884,968282,4398,30.5417,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,88,8ecc8c7be9cdb5c787b69159f9a5205af195986707e84d145b9ecbcce6334474,0,0.00073809,False,965957,968282,2325,16.1458,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,89,8f5692d5630cd236af51440be83506f3dbb85f646a6b6f25aa8e13b59a183d07,0,0.03497014,False,968281,968282,1,0.0069,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,90,8fac3150f06b1a1e7f42458aabd90cf9cfa8e56630da202d74fda9bb8a331ebb,0,0.01171375,False,968280,968282,2,0.0139,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,91,8ffea6088922396f2100b1c1dfae98a8d2491b19a19b302cd7232ffca19381b4,0,0.00115375,False,968225,968282,57,0.3958,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,92,9107c60b4ea578a471612f70537c705b0e3c774da05d1fd467788e4123098554,5,0.00161602,False,968202,968282,80,0.5556,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,93,913e37e21240c359de5705b93706d6bb53ecd30b93fb70088e5b3cd76317611e,1,0.00162958,False,968230,968282,52,0.3611,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,94,91635f9a7ac2149f2baba5795eff58bb268e5aee1f984b5e1e761e62c7c1120c,9,0.00285696,False,968204,968282,78,0.5417,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,95,9259260591395453ce3155f60bada9a4b8bce96e40b2248d3b9a52fa04e26c0e,28,0.00509258,False,968264,968282,18,0.125,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,96,926c90573662ba91eea249a12cd10d7cc997b0dcd2dcff9310f4d89707cd8c95,1,0.00073688,False,965224,968282,3058,21.2361,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,97,930c4d2d1d86542848b153c9d696d97328141b9e580d10972d44edf156bfe899,2,0.000737,False,965947,968282,2335,16.2153,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,98,970e37d439b216b10f44fe69254273eccc8e61012fafa9fbe8a9b9bc983a228e,6,0.00071996,False,965821,968282,2461,17.0903,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,99,97ceab3aa2f65035f327d858ea2f088c847a06602be79c5c074a703b6b236529,5,0.00527037,False,968208,968282,74,0.5139,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,100,97fbfa30e6a883469794515970069b9bfbe0aa74eb67bb61947a52bf337bd347,0,0.00231552,False,968229,968282,53,0.3681,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,101,9880b764d61a04b66429e3924c7bea2e15678f768a577babc0454e7ace4af8e2,1,0.00073183,False,963340,968282,4942,34.3194,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,102,98f1dc4cab642929306b444c7cc412515cc8e955252d37522faea8912693b21b,1,0.00072,False,965689,968282,2593,18.0069,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,103,9b973b35844f235a91f5374a5c78cd79b5e65095e260f270c3a4890881f49977,0,0.00154873,False,968263,968282,19,0.1319,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,104,9cb47931f776fdee25c558984dcc7717c75711d3e046165a6828542b13ad06eb,1,0.01927269,False,968198,968282,84,0.5833,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,105,9cb47931f776fdee25c558984dcc7717c75711d3e046165a6828542b13ad06eb,12,0.00140556,False,968198,968282,84,0.5833,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,106,9cf18b3250b442a279ec01ddbc73fd54487b182b4444ccfc493436d214345202,3,0.0124497,False,968204,968282,78,0.5417,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,107,9ef3d68b9898f56d26b72fc2ea8a399efc326e1bde9d944cffc11da88b6c1b7c,9,0.00072023,False,967818,968282,464,3.2222,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,108,a185e0d284cc77de5810d1d818995e6838a8b7cb71d805b64b3b45f928c19d0c,0,0.00073023,False,964044,968282,4238,29.4306,
4e18560f633e6cd3b90058f22299e5366b902f8d4c7efed73b36a331dd801af7,109,a1a02b4d12a53edcb76ed6fdb29276721c5094e4c803bde06660691bfec1798c,1,0.01123394,False,968276,968282,6,0.0417,
